city,Patients
Brighthaven,3
Brittanyberg,3
Brittanyborough,2
Brittanyfort,2
Brittanyfurt,2
Brittanyhaven,1
Brittanyland,2
Brittanymouth,4
Brittanyport,4
Brittanyshire,8
Brittanyside,2
Brittanystad,9
Brittanyton,3
Brittanytown,5
Brittneyburgh,1
Brittneychester,2
Brittneyfurt,1
Brittneyhaven,2
Brittneyland,4
Brittneymouth,1
Brittneyport,1
Brittneyshire,5
Brittneystad,5
Brittneyville,3
Brockfurt,2
Brockmouth,3
Brockshire,3
Brooketown,1
Brooksberg,1
Brooksborough,1
Brooksburgh,6
Brooksbury,2
Brooksland,6
Brooksmouth,1
Brooksport,3
Brooksshire,1
Brooksview,1
Brooksville,3
Brownberg,6
Brownborough,12
Brownburgh,11
Brownbury,10
Brownchester,10
Brownfort,6
Brownfurt,10
Brownhaven,4
Browningfort,3
Browningshire,2
Brownland,8
Brownmouth,16
Brownport,8
Brownshire,14
Brownside,13
Brownstad,8
Brownton,13
Browntown,7
Brownview,9
Brownville,17
Bruceburgh,1
Brucefort,2
Bruceland,2
Brucemouth,4
Bruceside,1
Brucestad,1
Bruceton,1
Brucetown,1
Bruceview,5
Bruceville,1
Bryanberg,1
Bryanburgh,1
Bryanbury,6
Bryanfort,2
Bryanfurt,3
Bryanhaven,1
Bryanmouth,10
Bryanshire,7
Bryanstad,2
Bryantberg,6
Bryantfurt,5
Bryantmouth,3
Bryanton,2
Bryantport,5
Bryantshire,4
Bryantville,4
Bryanville,5
Brycestad,5
Buchananhaven,3
Buchananside,2
Buchananton,3
Buckleyfort,1
Buckleytown,2
Buckmouth,3
Buckside,2
Buckview,2
Bullockfurt,1
Bullocktown,2
Burgessport,1
Burgesstown,3
Burkeborough,3
Burkeshire,1
Burkeside,2
Burkeview,5
Burkeville,2
Burnettberg,3
Burnettmouth,1
Burnettview,3
Burnshaven,2
Burnsport,1
Burnsshire,3
Burnsside,2
Burnsview,1
Burtonchester,5
Burtonstad,1
Burtonton,1
Burtonview,1
Bushborough,2
Bushbury,4
Bushport,1
Bushstad,2
Butlerborough,6
Butlerburgh,1
Butlerbury,2
Butlerfort,1
Butlerland,2
Butlermouth,1
Butlerport,1
Byrdland,2
Cabrerafurt,1
Cabreraland,2
Cabreramouth,2
Cabreraton,1
Cainmouth,2
Caitlinborough,2
Caitlinfort,3
Caitlinland,2
Caitlinmouth,2
Caitlinport,5
Caitlinstad,3
Caitlinview,3
Caitlynton,1
Calderonburgh,3
Calderonfurt,1
Calderonport,2
Caldwellberg,3
Caldwellborough,2
Caldwellchester,2
Calebborough,3
Calebview,2
Calhounshire,1
Callahanfort,1
Callahanside,3
Callahanview,1
Calvinburgh,1
Calvinfurt,1
Camachoborough,1
Camachomouth,1
Cameronburgh,5
Cameronside,2
Cameronstad,2
Cameronton,4
Campbellberg,1
Campbellchester,2
Campbellfort,2
Campbellfurt,7
Campbellhaven,4
Campbellland,2
Campbellmouth,6
Campbellside,1
Campbellstad,6
Campbellton,4
Campbelltown,1
Campbellview,2
Campbellville,1
Camposland,2
Camposville,2
Candaceburgh,2
Candacefurt,1
Candacemouth,1
Candaceport,1
Candiceborough,1
Candiceland,1
Cannonhaven,2
Cannonmouth,5
Cannonton,2
Cantrellburgh,2
Cantrelltown,2
Cantrellville,1
Cardenasfort,3
Cardenashaven,1
Cardenasstad,1
Careyfort,1
Careyfurt,2
Careyshire,2
Carlaburgh,1
Carlafort,1
Carlaton,3
Carlaville,4
Carlberg,1
Carlborough,1
Carlchester,1
Carlmouth,2
Carlosbury,1
Carlosfurt,2
Carlosshire,2
Carloston,1
Carlport,5
Carlshire,2
Carlsonfurt,1
Carlsonmouth,3
Carlsonside,1
Carlsonton,1
Carlsontown,1
Carlsonview,3
Carlymouth,2
Carlyshire,1
Carlyville,1
Carmenburgh,2
Carmenfurt,5
Carmenmouth,1
Carmenstad,2
Carmenton,2
Carmentown,1
Carneyport,1
Carolchester,3
Carolineborough,3
Carolineburgh,3
Carolland,3
Carolmouth,1
Carolport,1
Carolshire,3
Caroltown,3
Carolynberg,5
Carolynbury,2
Carolynchester,2
Carolynfort,4
Carolynmouth,3
Carolynport,2
Carolynton,2
Carolyntown,2
Carpenterberg,2
Carpenterchester,2
Carpenterfurt,4
Carpentermouth,3
Carpenterport,1
Carrberg,3
Carrburgh,3
Carrchester,8
Carrieberg,2
Carriefort,3
Carriemouth,2
Carrieshire,2
Carrieside,2
Carriestad,1
Carrieview,1
Carrieville,1
Carrilloberg,1
Carrilloport,3
Carrollburgh,1
Carrollfort,1
Carrollhaven,1
Carrollland,2
Carrollmouth,5
Carrollport,1
Carrollstad,2
Carrport,2
Carrton,1
Carsonfurt,2
Carsonland,2
Carsonton,1
Carterberg,1
Carterborough,3
Carterburgh,2
Carterbury,5
Carterchester,2
Carterfort,2
Carterfurt,2
Cartermouth,7
Carterport,5
Carterside,3
Carterton,2
Cartertown,7
Carterville,3
Caseland,1
Casemouth,3
Caseton,2
Casetown,6
Caseyborough,7
Caseyfurt,2
Caseyhaven,3
Caseyport,2
Caseytown,2
Caseyview,1
Caseyville,1
Cassandraport,3
Cassidyshire,1
Cassieberg,2
Cassieburgh,3
Cassietown,1
Castanedafurt,1
Castillomouth,3
Castilloport,4
Castilloside,6
Castilloton,2
Castilloview,2
Castilloville,2
Castroborough,6
Castroburgh,3
Castrobury,1
Castrofort,1
Castrofurt,2
Castromouth,1
Castroville,2
Catherineburgh,4
Catherinebury,3
Catherinefort,1
Catherinehaven,2
Catherineland,1
Catherinemouth,3
Catherineport,4
Catherineshire,1
Catherineside,1
Catherinestad,1
Catherineton,5
Cathyview,5
Cervantesfort,1
Cervantesstad,6
Cesarmouth,2
Chadborough,2
Chadbury,2
Chadchester,3
Chadfort,2
Chadmouth,4
Chadshire,4
Chadtown,3
Chadview,1
Chadville,5
Chambersburgh,1
Chambersfurt,2
Chambersmouth,6
Chambersshire,1
Chambersside,2
Chaneyfort,3
Chaneyside,1
Changberg,1
Changborough,1
Changbury,2
Changfort,2
Changside,1
Chanhaven,1
Chanland,1
Chanmouth,1
Chanport,1
Chanshire,2
Chanville,3
Chapmanbury,2
Chapmanfurt,3
Chapmanland,3
Chapmanmouth,7
Chapmanport,4
Chapmanshire,6
Chapmanton,10
Chapmantown,1
Chapmanview,4
Charlenefort,2
Charlesberg,4
Charlesborough,8
Charlesbury,2
Charleschester,4
Charlesfort,5
Charlesfurt,2
Charleshaven,8
Charlesland,13
Charlesport,3
Charlesshire,5
Charlesside,8
Charlesstad,2
Charleston,2
Charlesville,2
Charlottebury,4
Charlotteland,2
Chaseburgh,1
Chasehaven,2
Chaseland,2
Chaseport,2
Chasestad,2
Chavezberg,6
Chavezburgh,2
Chavezfort,2
Chavezhaven,4
Chavezland,3
Chavezmouth,1
Chavezstad,9
Chavezton,5
Chaveztown,1
Chavezville,7
Chelseaburgh,3
Chelseabury,1
Chelseafort,1
Chelseafurt,2
Chelseahaven,1
Chelseamouth,1
Chelseaville,5
Chelseyville,2
Chenberg,4
Chenton,3
Chenview,3
Cherylborough,3
Cherylburgh,2
Cherylbury,1
Cherylchester,2
Cherylmouth,6
Cherylshire,2
Cheyenneborough,1
Cheyennechester,1
Cheyennemouth,1
Cheyennetown,2
Chloefort,2
Chloestad,2
Choimouth,2
Chrisberg,1
Chrisborough,2
Chrisfurt,1
Chrismouth,2
Chrisshire,2
Christensenburgh,1
Christensenfort,2
Christensenhaven,2
Christensenmouth,2
Christensenton,1
Christensentown,1
Christensenview,3
Christensenville,1
Christianborough,1
Christianchester,2
Christianfort,2
Christianfurt,1
Christianside,1
Christianstad,3
Christianton,1
Christiantown,2
Christieborough,5
Christietown,1
Christinaberg,1
Christinaburgh,2
Christinachester,2
Christinafurt,1
Christinahaven,3
Christinaland,5
Christinamouth,7
Christinashire,11
Christinaside,6
Christinastad,2
Christinatown,4
Christinaview,7
Christinaville,9
Christineberg,6
Christineborough,6
Christineburgh,6
Christinechester,2
Christinefort,6
Christinehaven,3
Christineland,11
Christinemouth,5
Christineport,2
Christineshire,5
Christinestad,1
Christineton,3
Christinetown,1
Christineview,3
Christon,2
Christopherberg,12
Christopherborough,7
Christopherburgh,25
Christopherbury,5
Christopherchester,3
Christopherfort,14
Christopherfurt,12
Christopherhaven,10
Christopherland,8
Christophermouth,9
Christopherport,10
Christophershire,9
Christopherside,12
Christopherstad,7
Christopherton,3
Christophertown,5
Christopherview,16
Christopherville,9
Christyborough,3
Christyburgh,4
Christyton,4
Chungfurt,2
Chungstad,3
Churchberg,3
Churchhaven,1
Cindyburgh,2
Cindyfort,1
Cindyfurt,1
Cindyland,3
Cindyport,2
Cindystad,1
Cindyton,5
Cindytown,1
Cindyview,3
Cisneroshaven,1
Cisnerosmouth,3
Cisnerosville,1
Claireport,3
Claireview,1
Clarkberg,8
Clarkborough,1
Clarkburgh,2
Clarkbury,1
Clarkchester,6
Clarkeborough,1
Clarkeburgh,5
Clarkebury,3
Clarkeland,1
Clarkeshire,1
Clarkeville,4
Clarkfurt,3
Clarkhaven,4
Clarkland,2
Clarkmouth,5
Clarkport,1
Clarkshire,3
Clarkside,2
Clarkstad,3
Clarkton,1
Clarkview,4
Clarkville,6
Claudiaberg,3
Claudiaside,2
Claudiastad,3
Clayhaven,1
Clayport,2
Clayshire,2
Claytonberg,1
Claytonburgh,2
Claytonchester,5
Claytonside,3
Claytonton,1
Claytontown,1
Claytonview,1
Clayview,3
Clementsville,2
Cliffordberg,2
Cliffordland,2
Cliffordshire,1
Cliffordside,2
Clineburgh,2
Clintonborough,1
Clintonfort,1
Cobbport,1
Cochranburgh,1
Cochranton,1
Codyberg,1
Codyborough,4
Codyburgh,3
Codybury,3
Codychester,1
Codyland,1
Codymouth,3
Codyshire,1
Codystad,2
Codytown,1
Codyville,2
Coffeyfort,2
Coffeyton,2
Coffeyview,1
Cohenmouth,2
Cohenport,1
Cohenstad,2
Cohentown,3
Cohenview,1
Coleburgh,3
Colebury,1
Colechester,1
Colefurt,2
Colemanborough,2
Colemanfort,2
Colemanfurt,1
Colemanland,1
Colemanshire,1
Colemanside,2
Colemanstad,3
Colemanton,4
Colemanview,1
Colemanville,2
Coleport,3
Coleshire,3
Coleside,4
Coletown,1
Colinberg,2
Colinland,1
Colinside,2
Colinview,2
Colleenfort,2
Colleenport,1
Colleentown,3
Colleenville,1
Collierchester,1
Collierfurt,1
Collierstad,4
Collierton,2
Collierview,2
Collinborough,1
Collinland,1
Collinsberg,2
Collinsborough,2
Collinsburgh,1
Collinschester,3
Collinsfort,3
Collinsfurt,1
Collinshaven,1
Collinsland,1
Collinsmouth,5
Collinsport,7
Collinsshire,1
Collinsside,3
Collinsstad,1
Collinston,7
Collinstown,3
Collinsville,5
Colonberg,4
Colonfort,6
Colonmouth,2
Colontown,1
Coltonbury,1
Combsberg,2
Combsland,2
Combsstad,2
Comptonberg,1
Comptonfort,1
Comptonstad,3
Conleyfort,1
Connerberg,4
Connerland,3
Connieborough,3
Connieburgh,2
Connieport,1
Connieview,1
Connieville,3
Connorborough,2
Connorfurt,2
Connorstad,4
Connorton,1
Connorview,1
Conradmouth,1
Contrerasberg,1
Contrerasmouth,2
Contrerasport,1
Contrerasview,3
Contrerasville,2
Conwaymouth,3
Conwaystad,3
Conwayview,1
Cookeberg,3
Cookfort,4
Cookhaven,2
Cookland,2
Cookmouth,2
Cookport,2
Cookton,3
Cooktown,8
Cookville,2
Cooleybury,1
Cooperchester,3
Cooperfurt,3
Cooperland,5
Coopershire,5
Cooperside,3
Cooperstad,2
Cooperton,2
Cooperville,2
Copelandfurt,1
Cordovabury,1
Cordovashire,2
Coreyberg,2
Coreyborough,2
Coreybury,1
Coreychester,1
Coreyfort,4
Coreyhaven,1
Coreymouth,6
Coreyport,1
Coreyshire,1
Coreystad,3
Cortezfort,1
Cortezshire,1
Coryburgh,1
Corystad,2
Corytown,2
Costabury,3
Costamouth,1
Courtneybury,1
Courtneychester,2
Courtneyfurt,3
Courtneyhaven,3
Courtneymouth,2
Courtneyport,1
Courtneyside,3
Courtneystad,1
Courtneyton,2
Courtneyville,2
Cowanmouth,4
Cowantown,1
Coxberg,3
Coxburgh,1
Coxfort,2
Coxhaven,4
Coxland,2
Coxmouth,7
Coxport,4
Coxside,2
Coxstad,3
Coxton,3
Coxview,3
Craigberg,1
Craigborough,1
Craigchester,2
Craigfort,3
Craigfurt,5
Craighaven,2
Craigmouth,4
Craigport,3
Craigshire,2
Craigstad,1
Craigton,4
Craigview,1
Cranemouth,1
Crawfordbury,2
Crawfordfurt,4
Crawfordland,2
Crawfordmouth,3
Crawfordshire,2
Crawfordstad,1
Cristinaport,1
Crosbybury,2
Crosbyfurt,2
Crosstown,2
Crossview,3
Cruzborough,2
Cruzchester,2
Cruzfurt,4
Cruzhaven,3
Cruzmouth,6
Cruzton,4
Cruztown,2
Crystalberg,1
Crystalborough,4
Crystalburgh,6
Crystalbury,2
Crystalfort,2
Crystalhaven,1
Crystalland,1
Crystalmouth,1
Crystalport,3
Crystalton,5
Crystalview,7
