bed_id,bed_number,bed_status,ward_id
85,06-Oct,Occupied,6
86,07-Jan,Available,7
87,07-Feb,Available,7
88,07-Mar,Occupied,7
89,07-Apr,Occupied,7
90,07-May,Occupied,7
91,07-Jun,Occupied,7
92,07-Jul,Available,7
93,07-Aug,Occupied,7
94,07-Sep,Occupied,7
95,07-Oct,Available,7
96,07-Nov,Occupied,7
97,07-Dec,Occupied,7
98,Jul-13,Available,7
99,Jul-14,Available,7
100,Jul-15,Occupied,7
101,08-Jan,Occupied,8
102,08-Feb,Occupied,8
103,08-Mar,Occupied,8
104,08-Apr,Available,8
105,08-May,Available,8
106,08-Jun,Available,8
107,08-Jul,Occupied,8
108,08-Aug,Occupied,8
109,08-Sep,Available,8
110,08-Oct,Occupied,8
111,09-Jan,Occupied,9
112,09-Feb,Occupied,9
113,09-Mar,Occupied,9
114,09-Apr,Available,9
115,09-May,Available,9
116,09-Jun,Occupied,9
117,09-Jul,Available,9
118,09-Aug,Occupied,9
119,09-Sep,Occupied,9
120,09-Oct,Available,9
121,10-Jan,Occupied,10
122,10-Feb,Occupied,10
123,10-Mar,Occupied,10
124,10-Apr,Occupied,10
125,10-May,Available,10
126,10-Jun,Occupied,10
127,10-Jul,Available,10
128,10-Aug,Available,10
129,10-Sep,Occupied,10
130,10-Oct,Available,10
131,10-Nov,Available,10
132,10-Dec,Occupied,10
133,Oct-13,Occupied,10
134,Oct-14,Occupied,10
135,Oct-15,Occupied,10
136,Oct-16,Available,10
137,Oct-17,Occupied,10
138,Oct-18,Occupied,10
139,Oct-19,Occupied,10
140,Oct-20,Available,10
141,11-Jan,Occupied,11
142,11-Feb,Occupied,11
143,11-Mar,Available,11
144,11-Apr,Occupied,11
145,11-May,Occupied,11
146,11-Jun,Occupied,11
147,11-Jul,Available,11
148,11-Aug,Available,11
149,11-Sep,Available,11
150,11-Oct,Occupied,11
151,11-Nov,Occupied,11
152,11-Dec,Occupied,11
153,Nov-13,Occupied,11
154,Nov-14,Occupied,11
155,Nov-15,Occupied,11
156,Nov-16,Occupied,11
157,Nov-17,Available,11
158,Nov-18,Occupied,11
159,Nov-19,Available,11
160,Nov-20,Available,11
161,12-Jan,Occupied,12
162,12-Feb,Available,12
163,12-Mar,Occupied,12
164,12-Apr,Available,12
165,12-May,Occupied,12
166,12-Jun,Occupied,12
167,12-Jul,Occupied,12
168,12-Aug,Occupied,12
169,12-Sep,Available,12
170,12-Oct,Available,12
171,12-Nov,Available,12
172,12-Dec,Occupied,12
173,Dec-13,Occupied,12
174,Dec-14,Occupied,12
175,Dec-15,Occupied,12
176,Dec-16,Occupied,12
177,Dec-17,Available,12
178,Dec-18,Occupied,12
179,Dec-19,Occupied,12
180,Dec-20,Available,12
181,13-Jan,Occupied,13
182,13-Feb,Available,13
183,13-Mar,Available,13
184,13-Apr,Occupied,13
185,13-May,Occupied,13
186,13-Jun,Occupied,13
187,13-Jul,Available,13
188,13-Aug,Occupied,13
189,13-Sep,Occupied,13
190,13-Oct,Available,13
191,13-Nov,Available,13
192,13-Dec,Occupied,13
193,13-13,Occupied,13
194,13-14,Occupied,13
195,13-15,Available,13
196,13-16,Occupied,13
197,13-17,Occupied,13
198,13-18,Occupied,13
199,13-19,Available,13
200,13-20,Occupied,13
201,14-Jan,Occupied,14
202,14-Feb,Available,14
203,14-Mar,Occupied,14
204,14-Apr,Occupied,14
205,14-May,Available,14
206,14-Jun,Occupied,14
207,14-Jul,Occupied,14
208,14-Aug,Available,14
209,14-Sep,Available,14
210,14-Oct,Available,14
211,14-Nov,Available,14
212,14-Dec,Occupied,14
213,14-13,Occupied,14
214,14-14,Occupied,14
215,14-15,Occupied,14
216,15-Jan,Occupied,15
217,15-Feb,Occupied,15
218,15-Mar,Available,15
219,15-Apr,Available,15
220,15-May,Occupied,15
221,15-Jun,Occupied,15
222,15-Jul,Occupied,15
223,15-Aug,Available,15
224,15-Sep,Occupied,15
225,15-Oct,Available,15
226,15-Nov,Occupied,15
227,15-Dec,Available,15
228,15-13,Occupied,15
229,15-14,Occupied,15
230,15-15,Available,15
231,16-Jan,Occupied,16
232,16-Feb,Occupied,16
233,16-Mar,Occupied,16
234,16-Apr,Available,16
235,16-May,Occupied,16
236,16-Jun,Available,16
237,16-Jul,Available,16
238,16-Aug,Occupied,16
239,16-Sep,Occupied,16
240,16-Oct,Available,16
241,17-Jan,Occupied,17
242,17-Feb,Occupied,17
243,17-Mar,Available,17
244,17-Apr,Occupied,17
245,17-May,Occupied,17
246,17-Jun,Available,17
247,17-Jul,Occupied,17
248,17-Aug,Available,17
249,17-Sep,Occupied,17
250,17-Oct,Occupied,17
251,17-Nov,Occupied,17
252,17-Dec,Occupied,17
253,17-13,Available,17
254,17-14,Occupied,17
255,17-15,Occupied,17
256,17-16,Available,17
257,17-17,Available,17
258,17-18,Available,17
259,17-19,Occupied,17
260,17-20,Occupied,17
261,18-Jan,Occupied,18
262,18-Feb,Available,18
263,18-Mar,Available,18
264,18-Apr,Occupied,18
265,18-May,Available,18
266,18-Jun,Occupied,18
267,18-Jul,Occupied,18
268,18-Aug,Available,18
269,18-Sep,Occupied,18
270,18-Oct,Available,18
271,18-Nov,Available,18
272,18-Dec,Occupied,18
273,18-13,Occupied,18
274,18-14,Occupied,18
275,18-15,Occupied,18
276,19-Jan,Available,19
277,19-Feb,Occupied,19
278,19-Mar,Occupied,19
279,19-Apr,Available,19
280,19-May,Occupied,19
281,19-Jun,Occupied,19
282,19-Jul,Available,19
283,19-Aug,Available,19
284,19-Sep,Occupied,19
285,19-Oct,Occupied,19
286,20-Jan,Available,20
287,20-Feb,Occupied,20
288,20-Mar,Occupied,20
289,20-Apr,Available,20
290,20-May,Occupied,20
291,20-Jun,Occupied,20
292,20-Jul,Occupied,20
293,20-Aug,Available,20
294,20-Sep,Occupied,20
295,20-Oct,Available,20
296,20-Nov,Occupied,20
297,20-Dec,Available,20
298,20-13,Occupied,20
299,20-14,Available,20
300,20-15,Occupied,20
301,21-Jan,Available,21
302,21-Feb,Available,21
303,21-Mar,Occupied,21
304,21-Apr,Available,21
305,21-May,Occupied,21
306,21-Jun,Available,21
307,21-Jul,Occupied,21
308,21-Aug,Available,21
309,21-Sep,Occupied,21
310,21-Oct,Occupied,21
311,21-Nov,Occupied,21
312,21-Dec,Available,21
313,21-13,Occupied,21
314,21-14,Occupied,21
315,21-15,Occupied,21
316,22-Jan,Occupied,22
317,22-Feb,Available,22
318,22-Mar,Available,22
319,22-Apr,Occupied,22
320,22-May,Occupied,22
321,22-Jun,Occupied,22
322,22-Jul,Occupied,22
323,22-Aug,Occupied,22
324,22-Sep,Available,22
325,22-Oct,Available,22
326,22-Nov,Occupied,22
327,22-Dec,Available,22
328,22-13,Occupied,22
329,22-14,Occupied,22
330,22-15,Available,22
331,23-Jan,Available,23
332,23-Feb,Occupied,23
333,23-Mar,Available,23
334,23-Apr,Available,23
335,23-May,Occupied,23
336,23-Jun,Occupied,23
337,23-Jul,Occupied,23
338,23-Aug,Available,23
339,23-Sep,Occupied,23
340,23-Oct,Occupied,23
341,23-Nov,Occupied,23
342,23-Dec,Available,23
343,23-13,Available,23
344,23-14,Occupied,23
345,23-15,Occupied,23
346,23-16,Occupied,23
347,23-17,Occupied,23
348,23-18,Occupied,23
349,23-19,Available,23
350,23-20,Occupied,23
351,24-Jan,Occupied,24
352,24-Feb,Occupied,24
353,24-Mar,Available,24
354,24-Apr,Occupied,24
355,24-May,Occupied,24
356,24-Jun,Occupied,24
357,24-Jul,Occupied,24
358,24-Aug,Occupied,24
359,24-Sep,Available,24
360,24-Oct,Occupied,24
361,25-Jan,Occupied,25
362,25-Feb,Occupied,25
363,25-Mar,Occupied,25
364,25-Apr,Occupied,25
365,25-May,Available,25
366,25-Jun,Occupied,25
367,25-Jul,Occupied,25
368,25-Aug,Occupied,25
369,25-Sep,Available,25
370,25-Oct,Occupied,25
371,25-Nov,Occupied,25
372,25-Dec,Occupied,25
373,25-13,Available,25
374,25-14,Occupied,25
375,25-15,Occupied,25
376,25-16,Occupied,25
377,25-17,Occupied,25
378,25-18,Available,25
379,25-19,Occupied,25
380,25-20,Occupied,25
381,26-Jan,Occupied,26
382,26-Feb,Occupied,26
383,26-Mar,Occupied,26
384,26-Apr,Occupied,26
385,26-May,Occupied,26
386,26-Jun,Available,26
387,26-Jul,Occupied,26
388,26-Aug,Occupied,26
389,26-Sep,Available,26
390,26-Oct,Available,26
391,26-Nov,Occupied,26
392,26-Dec,Occupied,26
393,26-13,Occupied,26
394,26-14,Occupied,26
395,26-15,Occupied,26
396,27-Jan,Available,27
397,27-Feb,Occupied,27
398,27-Mar,Available,27
399,27-Apr,Occupied,27
400,27-May,Occupied,27
401,27-Jun,Occupied,27
402,27-Jul,Occupied,27
403,27-Aug,Occupied,27
404,27-Sep,Occupied,27
405,27-Oct,Occupied,27
406,27-Nov,Occupied,27
407,27-Dec,Occupied,27
408,27-13,Occupied,27
409,27-14,Occupied,27
410,27-15,Occupied,27
411,27-16,Occupied,27
412,27-17,Occupied,27
413,27-18,Available,27
414,27-19,Available,27
415,27-20,Occupied,27
