"Facility ID","Facility Name","Short Description","Description","Facility Open Date","Facility Address 1","Facility Address 2","Facility City","Facility State","Facility Zip Code","Facility Phone Number","Facility Fax Number","Facility Website","Facility County Code","Facility County","Regional Office ID","Regional Office","Main Site Name","Main Site Facility ID","Operating Certificate Number","Operator Name","Operator Address 1","Operator Address 2","Operator City","Operator State","Operator Zip Code","Cooperator Name","Cooperator Address","Cooperator Address 2","Cooperator City","Cooperator State","Cooperator Zip Code","Ownership Type","Facility Latitude","Facility Longitude","Facility Location"
"9290","Heritage One Day Surgery","DTC","Diagnostic and Treatment Center","03/03/2012","5496 East Taft Road",,"North Syracuse","New York","13212","3153622060","3153622097",,"33","Onondaga","3","Central New York Regional Office",,,"3335202R","Heritage One Day Surgery, LLC","5496 East Taft Road - Suite B",,"North Syracuse","New York","13212",,,,,"New York",,"LLC","43.122902","-76.136024","(43.122902, -76.136024)"
"9718","BronxCare Center for Physical Rehabilitation","HOSP-EC","Hospital Extension Clinic","08/29/2014","1775 Grand Concourse",,"Bronx","New York","10453","7189018800",,,"7094","Bronx","5","Metropolitan Area Regional Office - New York City","BronxCare Hospital Center","1164","7000001H","BronxCare Health System","1276 Fulton Avenue",,"Bronx","New York","10456",,,,,"New York",,"Not for Profit Corporation","40.846509","-73.909665","(40.846509, -73.909665)"
"9996","Downtown Bronx ASC","DTC","Diagnostic and Treatment Center","12/05/2016","951 Brook Avenue",,"Bronx","New York","10451",,,,"7094","Bronx","5","Metropolitan Area Regional Office - New York City",,,"7000289R","AMSC, LLC","951 Brook Avenue",,"Bronx","New York","10451",,,,,"New York",,"LLC","40.825321","-73.911774","(40.825321, -73.911774)"
"10016","DSI Newburgh, LLC","DTC","Diagnostic and Treatment Center","02/06/2017","39-47 North Plank Road",,"Newburgh","New York","12550","2123244696",,,"35","Orange","6","Metropolitan Area Regional Office - New Rochelle",,,"3563200R","DSI Newburgh, LLC","39-47 North Plank Road",,"Newburgh","New York","12550",,,,,"New York",,"LLC","41.5222","-74.030208","(41.5222, -74.030208)"
"10050","Gastroenterology of Westchester, LLC","DTC","Diagnostic and Treatment Center","06/09/2017","1086 North Broadway",,"Yonkers","New York","10701",,,,"59","Westchester","6","Metropolitan Area Regional Office - New Rochelle",,,"5907210R","Gastroenterology of Westchester, LLC","1086 North Broadway",,"Yonkers","New York","10701",,,,,"New York",,"LLC","40.972195","-73.88244","(40.972195, -73.88244)"
"10348","Grand Boulevard Dialysis","DTC","Diagnostic and Treatment Center","11/12/2019","860 Grand Boulevard",,"Deer Park","New York","11729","6312437770",,,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island",,,"5150211R","True North III DC, LLC","860 Grand Boulevard",,"Deer Park","New York","11729",,,,,"New York",,"LLC","40.76167","-73.306217","(40.76167, -73.306217)"
"12911","Hcr/Hcr Home Care","LHCSA","Licensed Home Care Services Agency","01/25/2011","85 Metro Park",,"Rochester","New York","14623","5852721930","5852727445",,"27","Monroe","2","Western Regional Office - Rochester",,,"1477L002","L. Woerner, Inc.","85 Metro Park",,"Rochester","New York","14623",,,,,"New York",,"Business Corporation","43.097486","-77.616703","(43.097486, -77.616703)"
"13218","Ideal Home Care Services Inc.","LHCSA","Licensed Home Care Services Agency","01/08/2013","2950 Express Drive S","Suite 100","Islandia","New York","11749","6315095600","6315095599",,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island",,,"1971L001","Ideal Home Care Services Inc.","2950 Express Drive S","Suite 100","Islandia","New York","11749",,,,,"New York",,"Business Corporation",,,
"13339","Garden Home Care Llc","LHCSA","Licensed Home Care Services Agency","01/04/2016","3456 Delaware Avenue",,"Kenmore","New York","14217","9178056446",,,"14","Erie","1","Western Regional Office - Buffalo",,,"2153L001","Garden Home Care Llc","3456 Delaware Avenue",,"Kenmore","New York","14217",,,,,"New York",,"LLC","42.978352","-78.872579","(42.978352, -78.872579)"
"13502","The Gardens By Morningstar, Llc","LHCSA","Licensed Home Care Services Agency","01/04/2016","132 Ellen Street",,"Oswego","New York","13126",,,,"37","Oswego","3","Central New York Regional Office",,,"2449L001","The Gardens By Morningstar, Llc","132 Ellen Street",,"Oswego","New York","13126",,,,,"New York",,"LLC","43.443455","-76.512542","(43.443455, -76.512542)"
"13557","Edira Family Home Care Llc","LHCSA","Licensed Home Care Services Agency","11/07/2017","94-02 63rd Drive",,"Rego Park","New York","11374","7188306206","7188306211",,"7096","Queens","5","Metropolitan Area Regional Office - New York City",,,"2546L001","Edira Family Home Care Llc","94-02 63rd Drive",,"Rego Park","New York","11374",,,,,"New York",,"LLC","40.728761","-73.862834","(40.728761, -73.862834)"
"13708","Brookhaven Home Care, Llc","LHCSA","Licensed Home Care Services Agency","02/10/2020","111 Beaver Dam Road",,"Brookhaven","New York","11719","6312862500","6312866488",,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island",,,"2736L001","Brookhaven Home Care, Llc","111 Beaver Dam Road",,"Brookhaven","New York","11719",,,,,"New York",,"LLC","40.773529","-72.934418","(40.773529, -72.934418)"
"13792","Optum Infusion Services 100, Inc.","LHCSA","Licensed Home Care Services Agency","05/06/2009","600 French Road",,"New Hartford","New York","13413","8003466348","8666893569",,"32","Oneida","3","Central New York Regional Office",,,"9296L004","Optum Infusion Services 100, Inc.","15529 College Boulevard",,"Lenexa","New York","66219",,,,,"New York",,"Business Corporation",,,
"15209","The Center for Advanced Spine and Joint Surgery","DTC","Diagnostic and Treatment Center","08/30/2021","125 Kennedy Drive",,"Hauppauge","New York","11788",,,,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island",,,"5155206R","Hauppauge SC, LLC","125 Kennedy Drive",,"Hauppauge","New York","11788",,,,,"New York",,"LLC","40.81083","-73.23807","(40.81083, -73.23807)"
"15285","Wehrle Drive ASC, LLC","DTC","Diagnostic and Treatment Center","04/21/2022","50 George Karl Boulevard",,"Amherst","New York","14221","7166500907",,,"14","Erie","1","Western Regional Office - Buffalo",,,"1401240R","Wehrle Drive ASC, LLC","50 George Karl Boulevard",,"Amherst","New York","14221",,,,,"New York",,"LLC","42.95758","-78.70466","(42.95758, -78.70466)"
"15335","NY Endovascular Center LLC","DTC","Diagnostic and Treatment Center","08/16/2022","505 East 116th Street",,"New York","New York","10029","6467912274",,,"7093","New York","5","Metropolitan Area Regional Office - New York City",,,"7002823R","NY Endovascular Center LLC","505 East 116th Street",,"New York","New York","10029",,,,,"New York",,"LLC","40.79498","-73.93245","(40.79498, -73.93245)"
"15593","The Maples Assisted Living LLC","LHCSA","Licensed Home Care Services Agency","12/01/2023","453 Park Street",,"Fulton","New York","13069","3158875664","3158775727",,"37","Oswego","3","Central New York Regional Office",,,"2758L001","The Maples Adult Living Community","453 Park Street",,"Fulton","New York","13069",,,,,"New York",,"LLC","43.31576","-76.40726","(43.31576, -76.40726)"
"15634","Carestier Health","DTC","Diagnostic and Treatment Center","04/19/2024","501 Route 208",,"Monroe","New York","10950","9172820661",,,"35","Orange","6","Metropolitan Area Regional Office - New Rochelle",,,"3560200R","Kerestir Health LLC","501 Route 208",,"Monroe","New York","10950",,,,,"New York",,"LLC","41.34693","-74.19103","(41.34693, -74.19103)"
"15750","Hempstead Primary Health","DTC-EC","Diagnostic and Treatment Center Extension Clinic","02/24/2025","135 Main Street",,"Hempstead","New York","11550","3477396926",,,"29","Nassau","7","Metropolitan Area Regional Office - Long Island","Suffolk Primary Health","6361","5155205R","Suffolk Primary Health, LLC","170 Old Country Road",,"Riverhead","New York","11901",,,,,"New York",,"LLC",,,
"15907","Elite Home Health Care","LHCSA","Licensed Home Care Services Agency","06/10/2026","919 Culver Road",,"Rochester","New York","14609","5853006000","7189252424",,"27","Monroe","2","Western Regional Office - Rochester",,,"2342L004","Elite Hhc Llc","1967 Mcdonald Avenue",,"Brooklyn","New York","11223",,,,,"New York",,"LLC",,,
"15917","DCI-Mount Kisco","DTC-EC","Diagnostic and Treatment Center Extension Clinic","06/15/2026","25 Hubbels Drive",,"Mount Kisco","New York","10549","9142146822",,,"59","Westchester","6","Metropolitan Area Regional Office - New Rochelle","Westchester Artificial Kidney Center-DCI","1140","5957203R","Dialysis Clinic, Inc","1633 Church Street, Suite 500",,"Nashville","New York","37203",,,,,"New York",,"Not for Profit Corporation",,,
"15910","Magnet Health Center","DTC-EC","Diagnostic and Treatment Center Extension Clinic","06/05/2026","1163 Manor Avenue",,"Bronx","New York","10472","7182316700",,,"7094","Bronx","5","Metropolitan Area Regional Office - New York City","Perry Avenue Family Medical Center, Inc.","6484","7000263R","Perry Avenue Family Medical Center, Inc.","3071 Perry Avenue",,"Bronx","New York","10467",,,,,"New York",,"Business Corporation",,,
"15908","NYU Langone Hospital-Suffolk Patchogue Ambulatory Surgery Center","HOSP-EC","Hospital Extension Clinic","06/03/2026","196 East Main Street",,"Patchogue","New York","11772","6315768400",,,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island","NYU Langone Hospitals","1463","7002053H","NYU Langone Hospitals","550 First Avenue",,"New York","New York","10016",,,,,"New York",,"Not for Profit Corporation",,,
"15913","The Veranda Assisted Living","LHCSA","Licensed Home Care Services Agency","06/22/2026","110 Henderson Street",,"Staten Island","New York","10301","9146828657","9146828895",,"7097","Richmond","5","Metropolitan Area Regional Office - New York City",,,"2772L001","SIAL Acquisition LLC DBA The Veranda Assisted Living","110 Henderson Street",,"Staten Island","New York","10301",,,,,"New York",,"LLC",,,
"7050","Open Door Family Med Center Inc","DTC-EC","Diagnostic and Treatment Center Extension Clinic","03/27/1997","5 Grace Church Street",,"Port Chester","New York","10573","9147378899",,,"59","Westchester","6","Metropolitan Area Regional Office - New Rochelle","Open Door Family Medical Center, Inc","1084","5905200R","Ossining Open Door Associates, Inc.","165 Main Street",,"Ossining","New York","10562",,,,,"New York",,"Not for Profit Corporation","40.997623","-73.665337","(40.997623, -73.665337)"
"1232","Hudson Pointe at Riverdale Center for Nursing and Rehabilitation","NH","Residential Health Care Facility - SNF","02/07/1980","3220 Henry Hudson Parkway",,"Bronx","New York","10463","7185142000",,,"7094","Bronx","5","Metropolitan Area Regional Office - New York City",,,"7000394N","Hudson Pointe Acquisition, LLC","3220 Henry Hudson Parkway",,"Bronx","New York","10463",,,,,"New York",,"Business Corporation","40.884998","-73.913773","(40.884998, -73.913773)"
"2539","Menorah Home & Hospital for Aged & Infirm","NH","Residential Health Care Facility - SNF","06/28/1982","1516 Oriental Boulevard",,"Brooklyn","New York","11235","7186464441","7186156381",,"7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"7001372N","Menorah Home & Hospital for Aged & Infirm","871 Bushwick Avenue",,"Brooklyn","New York","11221",,,,,"New York",,"Not for Profit Corporation","40.578274","-73.939247","(40.578274, -73.939247)"
"123","Chemung County Health Center-Nursing Facility","NH","Residential Health Care Facility - SNF","01/01/1901","103 Washington Street",,"Elmira","New York","14901","6077372001",,,"7","Chemung","2","Western Regional Office - Rochester",,,"0701301N","County of Chemung","255 Lake Street",,"Elmira","New York","14901",,,,,"New York",,"County","42.093357","-76.796593","(42.093357, -76.796593)"
"15152","Oyster Bay Manor Home Care","LHCSA","Licensed Home Care Services Agency","05/28/2021","150 South Street",,"Oyster Bay","New York","11771","5166240600","5163736672",,"29","Nassau","7","Metropolitan Area Regional Office - Long Island",,,"2746L001","Oyster Bay Manor Home Care, Inc.","150 South Street",,"Oyster Bay","New York","11771",,,,,"New York",,"Business Corporation","40.870583","-73.531565","(40.870583, -73.531565)"
"15705","Brightview Harrison","EHP","Enriched Housing Program","11/22/2024","600 Lake Street",,"Harrison","New York","10604","9144358388","9144358338","https://www.brightviewseniorliving.com/find-a-community/brightview-harrison","59","Westchester","5","Metropolitan Area Regional Office - New York City",,,"810-S-006","BV Harrison Operator, LLC","218 North Charles Street, Suite 220",,"Baltimore","New York","21201",,,,,"New York",,"LLC","41.05285","-73.73702","(41.05285, -73.73702)"
"15505","Saunders Center for Orthopedics & Physical Performance","HOSP-EC","Hospital Extension Clinic","01/06/2023","10 Miracle Mile Drive",,"Rochester","New York","14623",,,,"27","Monroe","2","Western Regional Office - Rochester","Strong Memorial Hospital","413","2701005H","University of Rochester Inc","601 Elmwood Avenue",,"Rochester","New York","14620",,,,,"New York",,"Not for Profit Corporation","43.08141","-77.63382","(43.08141, -77.63382)"
"7123","Bassett Healthcare Cobleskill II","HOSP-EC","Hospital Extension Clinic","03/28/1997","Grandview Drive",,"Cobleskill","New York","12043",,,,"38","Otsego","4","Capital District Regional Office","Mary Imogene Bassett Hospital","746","3824000H","Mary Imogene Bassett Hospital Inc","Atwell Road",,"Cooperstown","New York","13326","Bassett Healthcare Network","1 Atwell Road",,"Cooperstown","New York","13326","Not for Profit Corporation","42.68187","-74.479614","(42.68187, -74.479614)"
"9690","BronxCare Health & Wellness Center","HOSP-EC","Hospital Extension Clinic","03/06/2014","199 Mount Eden Parkway",,"Bronx","New York","10457",,,,"7094","Bronx","5","Metropolitan Area Regional Office - New York City","BronxCare Hospital Center","1164","7000001H","BronxCare Health System","1276 Fulton Avenue",,"Bronx","New York","10456",,,,,"New York",,"Not for Profit Corporation","40.843124","-73.909622","(40.843124, -73.909622)"
"15243","Tov Health Medical Center","DTC","Diagnostic and Treatment Center","11/03/2021","1540 Route 202",,"Pomona","New York","10970","8456133333",,,"43","Rockland","6","Metropolitan Area Regional Office - New Rochelle",,,"4353002R","Tov Health Medical Center, LLC","1540 Route 202",,"Pomona","New York","10970",,,,,"New York",,"LLC","41.18261","-74.05352","(41.18261, -74.05352)"
"4550","Schroon Lake Health Center","DTC-EC","Diagnostic and Treatment Center Extension Clinic","09/08/1992","24 Fairfield Road, PO Box 292",,"Schroon Lake","New York","12870-0292","5186232844",,,"15","Essex","4","Capital District Regional Office","Warrensburg Health Center","1326","5660200R","Hudson Headwaters Health Network Inc","Po Box 222",,"North Creek","New York","12853",,,,,"New York",,"Not for Profit Corporation","43.837345","-73.758987","(43.837345, -73.758987)"
"6094","EHS, Inc.","DTC","Diagnostic and Treatment Center","11/11/1996","206 South Elmwood Ave",,"Buffalo","New York","14201-2398","7168470212",,,"14","Erie","1","Western Regional Office - Buffalo",,,"1401227R","EHS, Inc.","206 South Elmwood Avenue",,"Buffalo","New York","14212",,,,,"New York",,"Not for Profit Corporation","42.890602","-78.878502","(42.890602, -78.878502)"
"15329","Clifton Park Multispecialty Clinic","HOSP-EC","Hospital Extension Clinic","07/10/2022","453 Route 146",,"Clifton Park","New York","12065","5182628608",,,"1","Albany","4","Capital District Regional Office","Albany Medical Center Hospital","1","0101000H","Albany Medical Center Hospital","New Scotland Avenue",,"Albany","New York","12208","Albany Med Health System","New Scotland Avenue",,"Albany","New York","12208","Not for Profit Corporation","42.86418","-73.75747","(42.86418, -73.75747)"
"15546","Refuah Health Wilson Avenue","DTC-EC","Diagnostic and Treatment Center Extension Clinic","10/16/2023","408 Wilson Avenue",,"New Square","New York","10977","8453549300",,,"43","Rockland","6","Metropolitan Area Regional Office - New Rochelle","Refuah Health Center","4771","4353202R","Refuah Health Center","728 North Main Street",,"Spring Valley","New York","10977",,,,,"New York",,"Not for Profit Corporation","41.13669","-74.02829","(41.13669, -74.02829)"
"3380","Downtown Alcoholism Clinic","HOSP-EC","Hospital Extension Clinic","08/05/1985","1285 Main Street",,"Buffalo","New York","14209","7168811800",,,"14","Erie","1","Western Regional Office - Buffalo","Erie County Medical Center","210","1401005H","Erie County Medical Center Corporation","462 Grider Street",,"Buffalo","New York","14215",,,,,"New York",,"Public Benefit Corporation","42.90863","-78.866753","(42.90863, -78.866753)"
"9415","Community Health Center of Lockport","DTC-EC","Diagnostic and Treatment Center Extension Clinic","11/16/2012","100 Main Street",,"Lockport","New York","14094","7169869199",,,"31","Niagara","1","Western Regional Office - Buffalo","Community Health Center of Buffalo","7885","1401230R","Community Health Center of Buffalo Inc","462 Grider St",,"Buffalo","New York","14215",,,,,"New York",,"Not for Profit Corporation","43.17012","-78.69046","(43.17012, -78.69046)"
"9172","North Shore LIJ Imaging at Great South Bay","HOSP-EC","Hospital Extension Clinic","10/21/2010","620 Main Street",,"Islip","New York","11751","6314397237","6314397290",,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island","North Shore University Hospital","541","2951001H","North Shore University Hospital Inc","300 Community Drive",,"Manhasset","New York","11030","Northwell Healthcare, Inc.","2000 Marcus Ave.",,"New Hyde Park","New York","11042","Not for Profit Corporation","40.729557","-73.211349","(40.729557, -73.211349)"
"12720","Sobola Enterprise & Home Care Services Inc.","LHCSA","Licensed Home Care Services Agency","10/24/2008","495 Flatbush Avenue","2nd Floor, Room #13","Brooklyn","New York","11225","8005154640","3472469551",,"7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"1029L001","Sobola Enterprise & Home Care Services Inc.","495 Flatbush Avenue","2nd Floor, Room #13","Brooklyn","New York","11225",,,,,"New York",,"Business Corporation","40.662204","-73.961558","(40.662204, -73.961558)"
"13138","Always Home Care","LHCSA","Licensed Home Care Services Agency","07/14/2011","3131 Coney Island Avenue",,"Brooklyn","New York","11235","7188438430","7186460680",,"7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"1839L001","Attentive Home Care Agency Inc.","3131 Coney Island Avenue",,"Brooklyn","New York","11235",,,,,"New York",,"Business Corporation","40.579673","-73.959456","(40.579673, -73.959456)"
"5919","Maxwell Institute of St Vincents","HOSP-EC","Hospital Extension Clinic","01/30/1996","92 Yonkers Avenue",,"Tuckahoe","New York","10707",,,,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island","St. Joseph's Medical Center","1098","5907002H","St. Josephs Hospital, Yonkers","127 S Broadway",,"Yonkers","New York","10701",,,,,"New York",,"Not for Profit Corporation","40.951229","-73.829147","(40.951229, -73.829147)"
"5632","People, Home Health Services-Certified, Inc","CHHA","Certified Home Health Agency","04/06/1995","692 Millersport Highway",,"Buffalo","New York","14226","7166348132",,,"14","Erie","1","Western Regional Office - Buffalo",,,"1451602","People, Home Health Services-Certified, Inc","737 Delaware Avenue",,"Buffalo","New York","14209",,,,,"New York",,"Not for Profit Corporation","42.9733","-78.80524","(42.9733, -78.80524)"
"13156","Novel Home Health Care Services Of New York, Corp.","LHCSA","Licensed Home Care Services Agency","04/01/2011","247 Prospect Avenue","3rd Floor","Brooklyn","New York","11215","3477631012","3477630572","www.novelhomecare.com","7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"1865L001","Novel Home Health Care Services Of New York, Corp.","247 Prospect Avenue","3rd Floor","Brooklyn","New York","11215",,,,,"New York",,"Business Corporation","40.664056","-73.990137","(40.664056, -73.990137)"
"8560","Lenox Hill Hospital Extension Clinic at MEETH","HOSP-EC","Hospital Extension Clinic","01/26/2006","210 East 64th Street",,"New York","New York","10021",,,,"7093","New York","5","Metropolitan Area Regional Office - New York City","Lenox Hill Hospital","1450","7002017H","Lenox Hill Hospital","100 East 77 Street",,"New York","New York","10021","Northwell Quality and Medical Affairs, Inc.","2000 Marcus Ave.",,"New Hyde Park","New York","11042","Not for Profit Corporation","40.764416","-73.963821","(40.764416, -73.963821)"
