week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,patient_count,average_length_of_stay,average_satisfaction,staff_present,total_staff
8,2,ICU,12,10,10,0,76,98,none,7,5.714285714285714,80.71428571428571,28,32
9,3,emergency,28,113,28,85,82,86,none,9,8.0,75.66666666666667,0,29
9,3,surgery,22,41,22,19,61,93,none,5,5.8,80.0,0,22
9,3,general_medicine,38,78,38,40,63,60,none,2,8.5,85.0,0,27
9,3,ICU,11,20,11,9,97,73,none,7,8.857142857142858,82.28571428571429,0,32
10,3,emergency,17,130,17,113,81,60,none,7,8.571428571428571,79.42857142857143,35,29
10,3,surgery,38,57,38,19,68,55,none,3,5.666666666666667,75.0,21,22
10,3,general_medicine,35,64,35,29,95,68,none,5,6.6,66.0,25,27
10,3,ICU,13,8,8,0,91,56,none,1,13.0,76.0,31,32
11,3,emergency,16,97,16,81,98,72,donation,4,6.5,79.0,34,29
11,3,surgery,48,48,48,0,82,80,none,4,9.5,87.75,23,22
11,3,general_medicine,35,50,35,15,75,75,none,6,8.666666666666666,83.66666666666667,22,27
11,3,ICU,14,17,14,3,61,50,none,4,7.0,75.25,31,32
12,3,emergency,28,347,28,319,68,83,flu,5,5.8,85.2,0,29
12,3,surgery,38,24,24,0,79,73,none,1,10.0,72.0,0,22
12,3,general_medicine,33,69,33,36,70,98,none,3,7.0,69.33333333333333,0,27
12,3,ICU,16,13,13,0,79,94,donation,4,10.5,67.75,0,32
13,4,emergency,23,142,23,119,77,95,none,4,7.75,67.5,34,29
13,4,surgery,41,54,41,13,75,90,none,5,8.4,75.2,20,22
13,4,general_medicine,33,72,33,39,73,70,none,9,5.0,77.22222222222223,26,27
13,4,ICU,17,12,12,0,66,52,none,3,10.0,72.66666666666667,27,32
14,4,emergency,15,97,15,82,71,71,none,3,6.333333333333333,78.66666666666667,29,29
14,4,surgery,33,49,33,16,97,87,none,4,10.5,88.25,22,22
14,4,general_medicine,51,47,47,0,86,76,none,4,8.75,67.25,22,27
14,4,ICU,10,16,10,6,92,54,none,7,7.714285714285714,89.85714285714286,31,32
15,4,emergency,17,53,17,36,94,98,none,4,3.75,82.5,0,29
15,4,surgery,31,124,31,93,65,76,flu,2,9.5,72.5,0,22
15,4,general_medicine,53,179,53,126,90,76,flu,3,2.0,78.33333333333333,0,27
15,4,ICU,14,11,11,0,92,52,none,6,11.666666666666666,74.0,0,32
16,4,emergency,23,144,23,121,62,89,none,3,8.0,95.33333333333333,36,29
16,4,surgery,37,28,28,0,82,31,strike,4,6.0,75.25,23,22
16,4,general_medicine,39,41,39,2,85,66,none,9,7.0,88.44444444444444,26,27
16,4,ICU,18,15,15,0,98,78,none,3,12.666666666666666,87.66666666666667,28,32
17,5,emergency,21,133,21,112,84,73,none,2,6.0,75.5,37,29
17,5,surgery,40,23,23,0,95,94,none,9,6.444444444444445,79.88888888888889,21,22
17,5,general_medicine,33,76,33,43,75,63,none,9,6.888888888888889,77.22222222222223,25,27
17,5,ICU,14,17,14,3,87,83,none,2,6.5,85.0,27,32
18,5,emergency,18,100,18,82,81,80,donation,5,6.2,73.6,0,29
18,5,surgery,43,36,36,0,81,98,none,7,8.0,80.14285714285714,0,22
18,5,general_medicine,31,25,25,0,96,62,strike,2,2.5,80.5,0,27
18,5,ICU,12,9,9,0,63,55,none,3,3.6666666666666665,85.0,0,32
19,5,emergency,16,70,16,54,99,45,strike,2,8.0,92.0,35,29
19,5,surgery,42,44,42,2,78,66,none,3,5.666666666666667,75.33333333333333,23,22
19,5,general_medicine,43,60,43,17,85,86,none,3,10.333333333333334,82.66666666666667,26,27
19,5,ICU,14,17,14,3,68,61,none,8,9.375,80.375,34,32
20,5,emergency,21,45,21,24,93,81,none,6,6.333333333333333,80.16666666666667,37,29
20,5,surgery,31,39,31,8,99,94,none,3,8.333333333333334,80.66666666666667,23,22
20,5,general_medicine,40,70,40,30,64,71,none,5,6.4,79.2,24,27
20,5,ICU,10,14,10,4,85,65,none,5,8.0,78.4,31,32
21,6,emergency,18,95,18,77,88,63,none,8,8.125,84.125,0,29
21,6,surgery,30,44,30,14,64,67,donation,6,6.833333333333333,80.66666666666667,0,22
21,6,general_medicine,45,70,45,25,95,82,none,2,7.0,88.0,0,27
21,6,ICU,12,9,9,0,69,54,none,9,9.777777777777779,77.22222222222223,0,32
22,6,emergency,16,129,16,113,69,68,none,5,8.4,77.0,36,29
22,6,surgery,18,21,18,3,63,65,none,5,10.8,80.8,22,22
22,6,general_medicine,46,36,36,0,87,88,donation,7,6.142857142857143,80.71428571428571,24,27
22,6,ICU,9,6,6,0,92,82,none,4,3.75,84.25,33,32
23,6,emergency,22,54,22,32,62,50,none,5,8.4,85.0,35,29
23,6,surgery,26,43,26,17,72,61,none,5,5.8,71.0,23,22
23,6,general_medicine,27,81,27,54,94,77,donation,5,8.0,73.6,26,27
23,6,ICU,17,12,12,0,85,83,none,1,5.0,72.0,33,32
24,6,emergency,18,105,18,87,70,78,none,8,5.5,81.5,0,29
24,6,surgery,39,21,21,0,95,39,strike,3,8.0,88.33333333333333,0,22
24,6,general_medicine,47,66,47,19,94,97,none,7,7.714285714285714,75.28571428571429,0,27
24,6,ICU,9,9,9,0,91,73,none,7,7.142857142857143,76.71428571428571,0,32
25,7,emergency,15,48,15,33,72,72,none,6,6.0,77.16666666666667,36,29
25,7,surgery,22,39,22,17,76,98,none,3,7.0,73.33333333333333,23,22
25,7,general_medicine,36,51,36,15,81,62,none,3,11.666666666666666,80.66666666666667,24,27
25,7,ICU,8,6,6,0,71,90,none,3,8.0,83.66666666666667,28,32
26,7,emergency,18,96,18,78,87,63,none,4,3.25,79.0,36,29
26,7,surgery,31,30,30,0,75,54,none,5,7.2,79.0,25,22
26,7,general_medicine,43,72,43,29,80,85,none,5,7.6,79.0,25,27
26,7,ICU,14,8,8,0,98,63,none,3,7.666666666666667,95.0,33,32
27,7,emergency,15,67,15,52,82,78,none,6,8.833333333333334,86.0,0,29
27,7,surgery,29,24,24,0,68,59,none,4,10.75,66.75,0,22
27,7,general_medicine,36,61,36,25,66,95,none,1,10.0,95.0,0,27
27,7,ICU,15,10,10,0,86,51,none,5,6.8,89.6,0,32
28,7,emergency,15,69,15,54,78,66,donation,5,7.2,75.6,36,29
28,7,surgery,31,28,28,0,66,74,none,8,5.5,77.875,24,22
28,7,general_medicine,26,36,26,10,90,68,none,7,5.857142857142857,78.85714285714286,26,27
28,7,ICU,12,8,8,0,86,59,none,5,5.6,84.6,30,32
29,8,emergency,16,92,16,76,72,99,none,4,10.5,76.25,32,29
29,8,surgery,36,31,31,0,87,57,none,6,5.5,78.16666666666667,24,22
29,8,general_medicine,30,62,30,32,60,52,none,3,7.333333333333333,74.66666666666667,26,27
29,8,ICU,14,15,14,1,84,82,none,2,8.5,83.0,33,32
30,8,emergency,16,85,16,69,91,94,none,3,5.666666666666667,77.33333333333333,0,29
30,8,surgery,32,15,15,0,70,66,strike,1,4.0,77.0,0,22
30,8,general_medicine,38,47,38,9,77,96,none,7,7.714285714285714,77.57142857142857,0,27
30,8,ICU,8,7,7,0,62,65,none,5,4.0,76.6,0,32
31,8,emergency,20,48,20,28,69,81,none,9,6.222222222222222,73.44444444444444,32,29
31,8,surgery,20,24,20,4,83,86,donation,4,10.0,79.0,21,22
31,8,general_medicine,45,60,45,15,85,57,none,7,10.571428571428571,80.71428571428571,24,27
31,8,ICU,8,12,8,4,87,86,none,5,5.6,80.0,31,32
32,8,emergency,20,89,20,69,76,58,none,6,5.833333333333333,81.0,33,29
32,8,surgery,31,25,25,0,87,97,none,4,4.5,73.25,23,22
32,8,general_medicine,34,59,34,25,65,67,none,7,7.714285714285714,77.71428571428571,25,27
32,8,ICU,11,15,11,4,84,51,none,4,9.5,84.0,30,32
33,9,emergency,28,54,28,26,92,56,donation,6,7.5,83.0,0,29
33,9,surgery,36,30,30,0,80,75,none,4,12.0,83.5,0,22
33,9,general_medicine,51,98,51,47,86,98,none,8,7.0,73.625,0,27
33,9,ICU,11,13,11,2,94,50,none,3,7.666666666666667,71.66666666666667,0,32
34,9,emergency,21,31,21,10,64,60,strike,5,9.6,85.2,31,29
34,9,surgery,22,42,22,20,96,86,none,4,6.25,79.75,23,22
34,9,general_medicine,48,56,48,8,80,63,none,4,7.0,74.0,27,27
34,9,ICU,10,7,7,0,72,53,none,4,4.25,75.0,31,32
35,9,emergency,15,81,15,66,93,77,none,3,3.0,74.66666666666667,34,29
35,9,surgery,26,45,26,19,93,52,none,5,7.6,74.0,22,22
35,9,general_medicine,41,40,40,0,64,79,none,5,8.0,84.4,22,27
35,9,ICU,18,5,5,0,82,64,none,5,9.0,81.6,31,32
36,9,emergency,28,115,28,87,70,88,none,6,8.666666666666666,88.16666666666667,0,29
36,9,surgery,47,53,47,6,97,99,none,5,7.0,82.2,0,22
36,9,general_medicine,59,54,54,0,86,83,none,7,8.0,77.14285714285714,0,27
36,9,ICU,15,5,5,0,83,64,none,2,6.0,79.0,0,32
37,10,emergency,23,110,23,87,76,54,none,5,8.4,71.8,35,29
37,10,surgery,31,39,31,8,69,66,none,5,8.2,79.4,24,22
37,10,general_medicine,58,48,48,0,93,55,none,4,9.0,78.5,26,27
37,10,ICU,13,20,13,7,82,65,none,5,5.8,79.6,26,32
38,10,emergency,22,71,22,49,67,53,none,5,8.2,83.8,35,29
38,10,surgery,47,48,47,1,62,81,none,6,8.666666666666666,86.0,22,22
38,10,general_medicine,63,78,63,15,78,70,none,8,6.5,77.125,26,27
38,10,ICU,20,18,18,0,81,70,none,7,6.142857142857143,67.85714285714286,33,32
39,10,emergency,20,67,20,47,85,95,none,4,3.75,71.5,0,29
39,10,surgery,36,49,36,13,86,58,none,8,6.25,78.875,0,22
39,10,general_medicine,48,59,48,11,89,72,strike,5,3.8,81.8,0,27
39,10,ICU,11,15,11,4,95,50,none,4,8.5,86.75,0,32
40,10,emergency,18,57,18,39,81,43,strike,6,9.333333333333334,71.66666666666667,36,29
40,10,surgery,46,36,36,0,83,51,none,4,6.5,80.5,23,22
40,10,general_medicine,47,107,47,60,66,52,none,4,8.25,78.0,23,27
40,10,ICU,12,15,12,3,97,84,none,5,8.8,82.0,28,32
41,11,emergency,27,92,27,65,69,88,none,5,8.2,77.8,37,29
41,11,surgery,31,49,31,18,85,93,none,5,6.0,77.2,24,22
41,11,general_medicine,50,70,50,20,84,53,none,8,6.125,78.625,26,27
41,11,ICU,21,20,20,0,77,96,none,7,4.142857142857143,83.42857142857143,31,32
42,11,emergency,24,99,24,75,67,89,none,6,9.333333333333334,83.5,0,29
42,11,surgery,45,67,45,22,65,75,none,9,7.333333333333333,85.55555555555556,0,22
42,11,general_medicine,67,114,67,47,65,86,none,5,3.4,70.4,0,27
42,11,ICU,16,12,12,0,80,55,none,6,9.833333333333334,87.33333333333333,0,32
43,11,emergency,21,171,21,150,70,79,none,4,6.5,78.0,35,29
43,11,surgery,50,33,33,0,62,89,donation,4,8.0,81.25,19,22
43,11,general_medicine,42,49,42,7,79,77,none,1,12.0,80.0,26,27
43,11,ICU,18,12,12,0,89,87,none,4,8.75,88.5,32,32
44,11,emergency,27,138,27,111,74,60,none,9,5.888888888888889,78.66666666666667,36,29
44,11,surgery,45,28,28,0,65,75,none,5,8.8,81.4,20,22
44,11,general_medicine,57,70,57,13,92,69,none,4,8.25,78.25,22,27
44,11,ICU,12,16,12,4,73,87,none,5,4.0,71.2,34,32
45,12,emergency,32,193,32,161,72,92,none,6,7.5,82.16666666666667,0,29
45,12,surgery,32,37,32,5,64,72,none,1,9.0,90.0,0,22
45,12,general_medicine,40,67,40,27,99,51,none,6,7.5,83.5,0,27
45,12,ICU,18,42,18,24,70,54,flu,9,5.111111111111111,81.55555555555556,0,32
46,12,emergency,36,187,36,151,64,93,none,3,9.333333333333334,76.66666666666667,31,29
46,12,surgery,52,39,39,0,68,83,none,6,10.0,83.5,24,22
46,12,general_medicine,41,29,29,0,81,58,strike,3,4.0,76.33333333333333,24,27
46,12,ICU,23,28,23,5,89,75,flu,7,9.428571428571429,79.28571428571429,30,32
47,12,emergency,22,91,22,69,63,54,strike,7,8.285714285714286,83.85714285714286,37,29
47,12,surgery,57,48,48,0,99,57,none,7,9.714285714285714,84.0,24,22
47,12,general_medicine,55,92,55,37,97,82,none,5,8.0,84.6,22,27
47,12,ICU,13,16,13,3,76,82,none,3,10.333333333333334,81.66666666666667,29,32
48,12,emergency,20,165,20,145,99,89,none,2,11.0,96.5,0,29
48,12,surgery,49,32,32,0,65,52,none,4,8.0,80.5,0,22
48,12,general_medicine,48,105,48,57,74,96,none,4,8.75,68.75,0,27
48,12,ICU,16,23,16,7,98,76,none,4,9.5,78.5,0,32
49,12,emergency,26,137,26,111,92,86,none,3,3.3333333333333335,81.0,37,29
49,12,surgery,26,29,26,3,81,51,none,4,9.0,80.5,24,22
49,12,general_medicine,72,63,63,0,92,87,none,5,5.8,83.8,25,27
49,12,ICU,16,22,16,6,83,64,none,1,14.0,69.0,32,32
50,12,emergency,24,101,24,77,63,61,none,3,6.666666666666667,83.66666666666667,38,29
50,12,surgery,59,65,59,6,95,85,none,2,7.0,82.0,21,22
50,12,general_medicine,72,57,57,0,79,60,none,3,6.0,79.0,23,27
50,12,ICU,22,13,13,0,65,57,none,8,10.125,79.625,30,32
51,12,emergency,31,123,31,92,71,75,none,6,6.166666666666667,82.83333333333333,0,29
51,12,surgery,63,48,48,0,84,82,none,2,7.5,86.5,0,22
51,12,general_medicine,74,285,74,211,95,89,flu,5,7.6,76.8,0,27
51,12,ICU,18,15,15,0,87,80,none,3,6.666666666666667,70.0,0,32
52,12,emergency,26,130,26,104,88,63,none,5,5.4,73.4,36,29
52,12,surgery,53,39,39,0,82,50,none,4,12.5,77.0,20,22
52,12,general_medicine,65,225,65,160,82,40,flu,1,4.0,60.0,23,27
52,12,ICU,22,24,22,2,80,96,none,6,7.333333333333333,81.66666666666667,29,32
